174,Sally of the Sawdust,1925,2.9,6852
175,School Ties,1992,3.7,6437
176,The Secret of NIMH,1982,3.8,4963
177,A Shot in the Dark,1964,3.7,6140
178,Rob Roy,1995,3.7,8359
179,Shoot Out,1971,3.7,5664
180,Salome's Last Dance,1988,2.8,5349
181,Sirens,1993,3.1,5647
182,Sanctuary,1997,3.4,5963
183,Slaughterhouse-Five,1972,3.5,6204
184,Madonna: Truth or Dare,1991,3.1,7163
185,Tommy Boy,1995,3.7,5821
186,The Toxic Avenger: Part 2,1989,2.9,6172
187,Wing Chun,1994,3.7,5752
188,WarGames,1983,3.6,6761
189,Way Down East,1920,3.0,8985
190,Tromeo &#38; Juliet,1995,3.0,6434
191,Ulzana's Raid,1972,3.6,6192
192,Where the Buffalo Roam,1980,3.6,5954
193,Wide Awake,1998,3.4,5237
194,Top Gun,1986,3.7,6574
195,True Grit,1969,3.9,7681
196,Tremors 2: Aftershocks,1995,3.3,5996
197,The Toxic Avenger,1985,3.0,5243
198,The Two Jakes,1990,3.1,8251
199,Tales from the Crypt Presents: Bordello of Blood,1996,3.3,5189
200,Tales from the Hood,1995,3.4,5850
201,Star Trek IV: The Voyage Home,1986,3.6,7128
202,Species,1995,3.2,6503
203,Somewhere in Time,1980,3.7,6205
204,Star Trek III: The Search for Spock,1984,3.6,6311
205,Things to Do in Denver When You're Dead,1995,3.4,6932
206,The Thief of Bagdad,1924,3.3,8921
207,Surf Nazis Must Die,1987,2.5,4943
208,Hard Eight,1996,3.4,6112
209,Sudden Death,1995,3.4,6622
210,Three Ages,1923,3.4,3803
211,Star Trek: First Contact,1996,3.8,6638
212,Swashbuckler,1976,3.2,6064
213,Star Trek: Generations,1994,3.6,7073
214,Steamboat Bill  Jr.,1928,3.7,3378
215,Terror of Mechagodzilla,1975,3.3,5339
216,Strange Days,1995,3.3,8711
217,Tales from the Crypt: Demon Knight,1994,3.6,5536
218,They Might Be Giants,1971,3.4,5175
219,Like It Is,1998,3.1,5580
220,The General,1998,3.4,7125
221,Dark Planet,1997,2.5,5800
222,Monument Ave.,1998,3.3,5627
223,The Truman Show,1998,3.7,6174
224,Street Fighter,1994,3.0,6112
225,Ring of Fire: IMAX,1991,3.7,2280
226,The Canterbury Tales,1972,2.7,6676
227,Mean Guns,1997,3.2,6602
228,Smoke Signals,1998,3.7,5342
229,Body Armor,1998,3.0,5736
230,Tropical Rainforest: IMAX,1992,3.5,2284
231,The Sinful Nuns of St. Valentine,1974,2.4,5597
232,Twilight,1998,3.3,5662
233,Digging to China,1998,3.7,5694
234,Titanica: IMAX,1995,3.7,4043
235,The Great Train Robbery,1978,3.6,6652
236,A Star Is Born,1937,3.3,6660
237,The Impostors,1998,3.2,6036
238,The Brandon Teena Story,1998,3.5,5271
239,Young Hercules,1997,3.2,5541
240,The Prophecy 2,1998,3.4,5007
241,Private Parts,1997,3.3,6569
242,Happy Together,1997,3.3,5762
243,Bean: The Movie,1997,3.3,5470
244,Hoodlum,1997,3.8,7822
245,My Son the Fanatic,1997,3.1,5220
246,Frozen,1997,2.2,5779
247,Mimic,1997,3.2,6336
248,The Wings of the Dove,1997,3.4,6101
249,Hercules,1997,4.0,5572
250,Mrs. Brown,1997,3.7,6289
251,Event Horizon,1997,3.5,5754
252,Face Off,1997,3.7,8334
253,Leave It to Beaver,1997,3.5,5274
254,How to Be a Player,1997,3.7,5632
255,The House of Yes,1997,3.3,5112
256,The Apostle,1997,3.4,8043
257,In &#38; Out,1997,3.3,5428
258,Chasing Amy,1997,3.6,6783
259,The Mighty Peking Man,1977,2.7,5451
260,My Teacher's Wife,1999,3.3,5359
261,Ground Control,1998,3.6,5357
262,Bride of Chucky,1998,3.3,5323
263,Project A 2,1987,3.7,6096
264,Very Bad Things,1998,3.3,6030
265,Frank &#38; Jesse,1995,3.6,6363
266,Ronin,1998,3.7,7291
267,Baron Blood,1972,2.8,5877
268,Mercury Rising,1998,3.6,6681
269,Waking Ned Devine,1998,3.7,5479
270,Hi Life,1998,2.7,5109
271,The Official Story,1985,3.6,6832
272,Jack Frost,1997,2.8,5353
273,The Borrowers,1997,3.6,5219
274,Switchback,1997,3.7,7094
275,On Any Sunday,1971,3.8,5333
276,Red Corner,1997,3.6,7338
277,The Mighty,1998,3.9,6029
278,I Love You  I Love You Not,1996,3.0,5565
279,The Mask of Zorro,1998,3.7,8255
280,The Rainmaker,1997,3.8,8128
281,B. Monkey,1998,3.1,5510
282,Pi,1998,3.5,5047
283,Scream 2,1997,3.2,7231
284,Velvet Goldmine,1998,3.4,7148
285,The Red Violin,1998,3.9,7803
286,Trekkies,1999,3.4,5198
287,Gods and Monsters,1998,3.5,6313
288,Life Is Beautiful,1997,4.2,6973
289,Kurt &#38; Courtney,1998,3.2,5704
290,Crossworlds,1996,3.0,5464
291,Titanic,1997,3.8,11691
292,Supercop,1992,3.5,5482
293,As Good as It Gets,1997,3.8,8318
294,Boogie Boy,1998,2.8,6229
295,Postmortem,1998,3.0,6049
296,Can't Hardly Wait,1998,3.5,6030
297,Species II,1998,3.1,5580
298,Lock  Stock and Two Smoking Barrels,1998,3.9,6458
299,Clay Pigeons,1998,3.4,6253
300,Antz,1998,3.6,4974
301,Little Witches,1996,2.7,5463
302,Breakdown,1997,3.5,5587
303,Mulan: Special Edition,1998,4.2,5270
304,Down in the Delta,1998,3.8,6742
305,The Godson,1998,2.8,6033
306,Cannibal! The Musical,1996,3.5,5799
307,Return to Paradise,1998,3.6,6710
308,54,1998,3.3,5578
309,The Landlady,1998,3.1,5743
310,Breeders,1997,2.5,5627
311,Grim,1995,2.5,5289
312,Another Day in Paradise,1998,3.1,6069
313,Nothing Sacred,1937,3.3,4425
314,Gunshy,1998,3.3,6065
315,Scarred City,1998,3.4,5761
316,Beneath the 12-Mile Reef,1953,3.2,6036
317,Snow White: A Tale of Terror,1997,3.5,6029
318,Phoenix,1998,3.4,6451
319,Swordsman 2,1991,3.5,6502
320,Trinity &#38; Beyond: The Atomic Bomb Movie,1995,3.8,5620
321,Tale of the Mummy,1998,3.0,5290
322,Triads: The Inside Story,1989,2.9,6021
323,One Man's Justice,1995,3.3,5982
324,Operation Condor 2: Armour of the Gods,1987,3.6,5314
325,The Peacemaker,1997,3.5,7425
326,Chandni,1989,3.4,10247
327,Darr,1993,3.5,10613
328,Money Kings,1998,3.4,6026
329,Ready to Wear,1994,2.7,7973
330,Daag,1973,2.9,8389
331,Marlene,1984,3.2,5700
332,Barney: Let's Play School,1999,2.8,2942
333,Aaina,1993,3.3,8553
334,Iron Monkey 2,1996,3.5,5412
335,Search for the Great Sharks: IMAX,1999,3.6,2273
336,Children of the Corn 666: Isaac's Return,1999,3.1,4925
337,Chariots of the Gods,1970,3.6,5320
338,Lamhe,1991,3.5,10751
339,Dil To Pagal Hai,1997,3.8,10784
340,The Eternal,1998,2.7,5706
341,The Greatest Places: IMAX,1999,3.6,2399
342,Yeh Dillagi,1994,3.3,8851
343,Small Soldiers,1998,3.6,6585
344,Just Write,1997,3.3,6282
345,Psycho,1998,3.4,6224
346,I'll Be Home for Christmas,1998,3.7,5166
347,Guinevere,1999,2.9,6299
348,Babar  King of the Elephants,1999,3.2,4756
349,The Boxer,1997,3.6,6531
350,From Dusk Till Dawn 2: Texas Blood Money,1999,3.0,5300
351,The Prince of Egypt,1998,3.8,5921
352,She's All That,1999,3.5,5738
353,Route 9,1998,3.3,6331
354,Tactical Assault,1999,3.2,5382
355,Shakespeare in Love,1998,3.7,7419
356,What Dreams May Come,1998,3.7,6813
357,eXistenZ,1999,3.2,5840
358,The Faculty,1998,3.5,6269
359,October Sky,1999,3.9,6439
360,Bloodsport 4,1999,3.1,5627
361,Little Voice,1998,3.4,5804
362,Break Up,1998,3.3,6023
363,Callie &#38; Son,1981,3.2,8473
364,National Geographic: 30 Years of National Geographic Specials,1996,3.9,5450
365,The Haunting,1999,3.2,6757
366,Trippin',1999,3.5,5578
367,Bay of Blood,1971,2.8,5060
368,National Geographic: Tigers of the Snow,1997,3.9,3298
369,Intolerance,1916,3.2,11873
370,Mickey's Once Upon a Christmas,1999,3.9,3944
371,Black Sunday,1960,3.1,5209
372,The General's Daughter,1999,3.5,6982
373,Everest: IMAX,1998,3.6,2750
374,Farewell My Concubine,1993,3.6,10292
375,Top of the World,1997,3.1,5917
376,National Geographic: The Battle for Midway,1999,3.9,5000
377,Teaching Mrs. Tingle,1999,3.2,5710
378,Lost in New York,1989,2.1,3261
379,A Walk on the Moon,1999,3.5,6432
380,The General,1926,3.5,4726
381,South Park: Bigger  Longer and Uncut,1999,3.7,4872
382,The Wolf Man,1941,3.8,4193
383,Abbott &#38; Costello: Africa Screams,1949,3.5,4751
384,Charade,1963,4.0,6804
385,National Geographic: Return to Everest Surviving Everest,1999,3.5,5853
386,My Life So Far,1999,3.5,5680
387,Music of the Heart,1999,3.6,7393
388,The Muse,1999,3.0,5802
389,The Very Thought of You,1999,3.2,5106
390,Deathsport,1978,2.5,4966
391,Joe the King,1999,3.4,6036
392,Runaway Bride,1999,3.4,6978
393,K-911,1999,3.3,5464
394,Grey Owl,1999,3.6,7077
395,Rogue Trader,1999,3.3,6104
396,Seven Chances,1925,3.6,3402
397,An Extremely Goofy Movie,1999,3.8,4738
398,The Sex Monster,1999,2.8,5842
399,Mystery Men,1999,3.3,7277
400,Butch Cassidy and the Sundance Kid,1969,4.0,6626
401,Dracula,1931,3.6,4491
402,Love Is a Many-Splendored Thing,1955,3.5,6115
403,Dudley Do-Right,1999,3.0,4621
404,From Dusk Till Dawn 3: The Hangman's Daughter,1999,3.2,5642
405,Bloodfist 2,1990,3.0,5054
406,Being John Malkovich,1999,3.4,6767
407,The Breaks,1999,3.5,5175
408,The Last Temptation of Christ,1988,3.4,9790
409,Our Town,1940,3.2,5376
410,Believe,2000,3.3,5767
411,The Fox and the Hound,1981,3.9,4975
412,Ghost Dad,1990,3.3,5041
413,That's the Way I Like It,1999,3.1,5513
414,Jackie Chan's Project A,1983,3.6,5890
415,Walking with Dinosaurs,1999,3.8,
416,For Love of the Game,1999,3.8,8267
417,The Prophecy 3: The Ascent,2000,3.4,5048
418,Best of the Best 3,1993,3.5,5886
419,The Trial,1962,3.3,7164
420,Superstar,1999,3.4,4906
421,Happy  Texas,1999,3.3,5914
422,The Tempest,1979,2.2,5710
423,Waking the Dead,1999,3.2,6310
424,The Van,1977,2.7,5201
425,Switchblade Sisters,1975,3.1,5442
426,American Gigolo,1980,3.2,6997
427,BoyFriends,1996,2.6,4901
428,F X 2,1991,3.3,6493
429,White Zombie,1932,3.3,3923
430,The Cider House Rules,1999,3.8,7523
431,Scream 3,2000,3.2,7013
432,The Tigger Movie,2000,3.5,4626
433,Holy Smoke,2000,3.0,6855
434,The Endless Summer,1966,3.9,5509
435,The House of Exorcism,1975,2.5,5495
436,The Sacrifice,1986,3.5,8924
437,Kill  Baby... Kill!,1966,2.9,5023
438,Requiem for a Dream,2000,3.9,6087
439,Monkeybone,2001,3.1,5561
440,Boricua's Bond,2000,3.4,5745
441,Lisa &#38; the Devil,1974,2.7,5728
442,Dead Again,1991,3.6,6462
443,Clue,1985,3.8,5811
444,The Brother from Another Planet,1984,3.2,6567
445,Shaft,2000,3.4,5956
446,Butterfly,1999,3.8,5625
447,Barney's Super Singing Circus,2000,2.7,2957
448,Manhattan,1979,3.7,5778
449,Human Traffic,1999,3.4,5054
450,Up at the Villa,2000,3.2,6937
451,Hamlet,2000,3.0,6682
452,The Rescuers Down Under,1990,3.9,4627
453,Pocahontas II: Journey to a New World,1998,3.6,4388
454,Telling You,1998,2.6,5661
455,Mercy,2000,3.0,5652
456,But I'm a Cheerleader,1999,3.4,5103
457,Chronicle of Anna Magdalena Bach,1968,2.7,5613
458,In Old California,1942,3.5,5260
459,East Is East,1999,3.3,5808
460,The Skulls,2000,3.5,6394
461,The Adventures of Rocky and Bullwinkle,2000,3.0,5509
462,Joe Gould's Secret,2000,3.1,6513
463,Tie Me Up! Tie Me Down!,1990,3.3,6102
464,Scary Movie,2000,3.4,5308
465,Forrest Gump,1994,4.3,8525
466,Dreamscape,1984,3.3,5941
467,Hatchet for the Honeymoon,1970,2.7,5287
468,Committed,2000,3.1,5869
469,Romeo &#38; Juliet,1968,3.7,8293
470,Don't Let Me Die on a Sunday,1998,2.4,5246
471,Love's Labour's Lost,2000,2.9,5624
472,Man on the Moon,1999,3.3,7112
473,Mansfield Park,1999,3.8,6718
474,Isn't She Great,2000,3.4,5712
475,Grease,1978,3.8,6630
476,Kadosh,1999,3.0,6990
477,The War Zone,1999,3.2,5702
478,Agnes Browne,1999,3.6,5531
479,Beautiful People,1999,2.9,6446
480,Diamonds,1999,3.4,5392
481,The Lovers on the Bridge,1991,3.2,7573
482,Return to Me,2000,3.7,6953
483,The Last September,1999,3.0,6188
484,Following,1998,3.4,4206
485,Coming to Light: Edward S. Curtis and the North American Indians,2000,4.0,5027
486,Condo Painting,2000,2.5,5152
487,Mission: Impossible II,2000,3.4,7412
488,Sonatine,1993,3.5,5644
489,Dead Man,1995,3.5,7278
490,Planet of the Apes,1968,3.7,6721
491,Braveheart,1995,4.2,10658
492,Brian's Song,1971,3.8,4454
493,Wishful Thinking,1999,2.7,5368
494,Star Trek II: The Wrath of Khan,1982,3.7,6782
495,The Langoliers,1995,3.3,10798
496,Strike,1925,3.4,5321
497,The Awful Dr. Orlof,1962,2.5,4973
498,The Girl Who Knew Too Much,1963,2.9,5146
499,Black Sabbath,1964,3.1,5754
500,Pumpkinhead,1988,3.3,5187
